Off Site,Away,Home,City,State,network,time,mediaindicator
,Temple,Central Michigan,,,Web Video Available,10/11/2008 16:00,W
,Arkansas,Auburn,,,CSS PPV,10/11/2008 17:00,T
,Bowling Green,Akron,,,Web Video Available,10/11/2008 18:00,W
,New Mexico,BYU,,,The mtn.,10/11/2008 18:00,T
,UL-Monroe,Arkansas St.,,,ESPN Plus,10/11/2008 19:00,T
,UL-Lafayette,North Texas,,,Web Video Available,10/11/2008 19:00,W
,Ball St.,Western Kentucky,,,Web Video Available,10/11/2008 19:00,W
,Iowa St.,Baylor,,,FOX College Sports,10/11/2008 19:00,T
,Utah St.,San Jose St.,,,ESPNU HD,10/11/2008 19:30,T
,LSU,Florida,,,CBS HD,10/11/2008 20:00,T
,Oklahoma St.,Missouri,,,ESPN2 HD,10/11/2008 20:00,T
,Boise St.,Southern Miss,,,CBS College Sports,10/11/2008 20:00,T
,Tulsa,SMU,,,Web Video Available,10/11/2008 20:00,W
,Penn St.,Wisconsin,,,ESPN HD,10/11/2008 20:00,T
,Tulane,UTEP,,,Web Video Available,10/11/2008 21:00,W
,Air Force,San Diego St.,,,The mtn.,10/11/2008 21:30,T
,Idaho,Fresno St.,,,KBCI<br>KAIL,10/11/2008 22:00,T
,Louisiana Tech,Hawai'i,,,Oceanic PPV,10/11/2008 23:59,T
,BYU,TCU,,,Versus,10/16/2008 20:00,T
,Hawai'i,Boise St.,,,ESPN HD,10/17/2008 20:00,T
,Baylor,Oklahoma St.,,,,10/18/2008 0:00,N
,Western Michigan,Central Michigan,,,ESPN Plus,10/18/2008 12:00,T
,Miami (OH),Bowling Green,,,ESPN Plus,10/18/2008 12:00,T
,Memphis,East Carolina,,,CSS<br>WITN,10/18/2008 12:00,T
,Purdue,Northwestern,,,ESPN2 HD,10/18/2008 12:00,T
,Wisconsin,Iowa,,,Big Ten Network HD,10/18/2008 12:00,T
,Texas Tech,Texas A&M,,,FSN HD,10/18/2008 12:00,T
,Connecticut,Rutgers,,,ESPNU HD,10/18/2008 12:00,T
,Syracuse,USF,,,Big East Network,10/18/2008 12:00,T
,Georgia Tech,Clemson,,,ESPN HD,10/18/2008 12:00,T
,Wake Forest,Maryland,,,Raycom Sports HD,10/18/2008 12:00,T
,Nebraska,Iowa St.,,,Versus,10/18/2008 12:30,T
,Vanderbilt,Georgia,,,Raycom Sports HD,10/18/2008 12:30,T
,Akron,Eastern Michigan,,,Web Video Available,10/18/2008 13:00,W
