game,network,time,mediaindicator
Central Michigan at Western Michigan,MAC TV,11/12/2005 2:00:00 PM,T
Ball St. at Eastern Michigan,Comcast Local,11/12/2005 6:00:00 PM,T
Bowling Green at Miami (OH),ESPN2 HD,11/15/2005 7:00:00 PM,T
Ohio at Akron,ESPNU,11/15/2005 7:30:00 PM,T
Northern Illinois at Toledo,ESPN2 HD,11/16/2005 7:30:00 PM,T
Central Michigan at Ball St.,CSN Chicago,11/19/2005 1:00:00 PM,T
Miami (OH) at Ohio,ESPNU,11/21/2005 7:30:00 PM,T
Toledo at Bowling Green,ESPN2 HD,11/22/2005 7:00:00 PM,T
Western Michigan at Northern Illinois,ESPN2,11/23/2005 1:30:00 PM,T
Kent St. at Akron,ESPNU,11/24/2005 10:00:00 AM,T
MAC Championship<br>Northern Illinois vs. Akron<br>(at Detroit, MI),ESPN HD,12/1/2005 7:30:00 PM,T
Arizona at Utah,ESPN HD,9/2/2005 8:00:00 PM,T
Washington vs. Air Force<br>(at Seattle, WA),ABC,9/3/2005 3:30:00 PM,T
Boston College at BYU,ABC,9/3/2005 3:30:00 PM,T
UCLA at San Diego St.,ESPN2 HD,9/3/2005 10:15:00 PM,T
UNLV at New Mexico,ESPN2,9/5/2005 1:00:00 PM,T
San Diego St. at Air Force,ESPN360,9/10/2005 2:00:00 PM,W
Eastern Illinois at BYU,SportsWest,9/10/2005 3:00:00 PM,T
Utah St. at Utah,KJZZ,9/10/2005 8:00:00 PM,T
Utah at TCU,ESPN HD,9/15/2005 7:30:00 PM,T
Air Force at Utah,ESPN HD,9/22/2005 7:30:00 PM,T
TCU at BYU,ESPN Plus,9/24/2005 3:00:00 PM,T
Nevada at Colorado St.,FSN Rocky Mountain<br>KREN,9/24/2005 6:00:00 PM,T
San Jose St. at San Diego St.,SportsWest,9/24/2005 8:00:00 PM,T
Air Force at Colorado St.,ESPN HD,9/29/2005 7:30:00 PM,T
UNLV at Wyoming,SportsWest,10/1/2005 3:00:00 PM,T
New Mexico at TCU,KRQE,10/1/2005 7:00:00 PM,T
BYU at San Diego St.,SportsWest,10/1/2005 10:00:00 PM,T
San Diego St. at UNLV,ESPN Plus,10/8/2005 3:00:00 PM,T
Utah at Colorado St.,KJZZ,10/8/2005 6:30:00 PM,T
BYU at New Mexico,SportsWest,10/8/2005 8:00:00 PM,T
UNLV at Air Force,SportsWest,10/15/2005 12:00:00 PM,T
New Mexico at Wyoming,ESPN Plus,10/15/2005 3:00:00 PM,T
