game,network,time,mediaindicator,
Texas Tech at Iowa St.,FOX College Sports,09/29/2012 19:00,T,
Texas at Oklahoma St.,FOX HD,09/29/2012 19:30,T,
UTSA at New Mexico St.,AggieVision,09/29/2012 20:00,T,
UNLV at Utah St.,ESPN3,09/29/2012 20:00,W,
Wisconsin at Nebraska,ABC HD,09/29/2012 20:00,T,
Louisville at Southern Miss,CBS Sports Network HD,09/29/2012 20:00,T,
Ole Miss at Alabama,ESPN HD,09/29/2012 21:15,T,
Oregon St. at Arizona,Pac-12 Network HD,09/29/2012 22:00,T,
San Diego St. at Fresno St.,KUSI,09/29/2012 22:00,T,
Oregon vs. Washington St.<br>(at Seattle, WA),ESPN2 HD,09/29/2012 22:30,T
Arkansas St. at FIU,ESPNU HD,10/04/2012 19:30,T,
East Carolina at UCF,CBS Sports Network HD,10/04/2012 20:00,T,
USC at Utah,ESPN HD,10/04/2012 21:00,T,
Pittsburgh at Syracuse,ESPN HD,10/05/2012 19:00,T,
Utah St. at BYU,ESPN HD,10/05/2012 22:15,T,
Navy at Air Force,CBS HD,10/06/2012 11:30,T,
Buffalo at Ohio,ESPN Plus,10/06/2012 12:00,T,
Boise St. at Southern Miss,FSN HD,10/06/2012 12:00,T,
Boston College at Army,CBS Sports Network HD,10/06/2012 12:00,T,
Michigan St. at Indiana,BTN HD,10/06/2012 12:00,T,
Northwestern at Penn St.,ESPN HD<br>ESPN 3D,10/06/2012 12:00,T,
Arkansas at Auburn,ESPN2 HD,10/06/2012 12:00,T,
Mississippi St. at Kentucky,SEC Network HD,10/06/2012 12:00,T,
USF at Temple,Big East Network HD,10/06/2012 12:00,T,
Connecticut at Rutgers,ESPNU HD,10/06/2012 12:00,T,
Kansas at Kansas St.,F/X HD,10/06/2012 12:00,T,
Virginia Tech at North Carolina,ACC Network HD,10/06/2012 12:30,T,
Kent St. at Eastern Michigan,,10/06/2012 13:00,W,
Bowling Green at Akron,,10/06/2012 14:00,W,
Massachusetts at Western Michigan,,10/06/2012 14:00,W,
Southeastern Louisiana at UAB,,10/06/2012 15:00,W,
Northern Illinois at Ball St.,,10/06/2012 15:00,W,
Virginia at Duke,ACC RSNs HD,10/06/2012 15:00,T,
Central Michigan at Toledo,ESPN3,10/06/2012 15:00,W,
Arizona at Stanford,FOX HD,10/06/2012 15:00,T,
Illinois at Wisconsin,ABC/ESPN2 HD,10/06/2012 15:30,T,
Georgia Tech at Clemson,ESPN HD,10/06/2012 15:30,T,
LSU at Florida,CBS HD,10/06/2012 15:30,T,
Tulsa at Marshall,CBS Sports Network HD,10/06/2012 15:30,T,
Wake Forest at Maryland,ESPNU HD,10/06/2012 15:30,T,
Oklahoma at Texas Tech,ABC/ESPN2 HD,10/06/2012 15:30,T,
Iowa St. at TCU,FSN HD,10/06/2012 15:30,T,
UL-Monroe at Middle Tennessee,Sun Belt Network,10/06/2012 15:30,T,
Michigan at Purdue,BTN HD,10/06/2012 16:00,T,
Tulane at UL-Lafayette,Cox4-Louisiana,10/06/2012 17:00,T,
New Mexico St. at Idaho,KTRV,10/06/2012 17:00,T,
Texas St. at New Mexico,ProView Networks,10/06/2012 18:00,T,
Washington St. at Oregon St.,Pac-12 Networks HD,10/06/2012 18:00,T,
Georgia at South Carolina,ESPN HD,10/06/2012 19:00,T,
Vanderbilt at Missouri,SEC/FOX RSNs HD,10/06/2012 19:00,T,
Texas A&M at Ole Miss,ESPNU HD,10/06/2012 19:00,T,
Wyoming at Nevada,,10/06/2012 19:00,W,
Fresno St. at Colorado St.,Time Warner SportsNet,10/06/2012 19:00,T,
Miami (OH) at Cincinnati,FOX Sports Ohio,10/06/2012 19:00,T,
Rice at Memphis,FOX College Sports,10/06/2012 19:00,T,
UNLV at Louisiana Tech,ESPN Plus,10/06/2012 19:00,T,
West Virginia at Texas,FOX HD,10/06/2012 19:00,T,
North Texas at Houston,CSS,10/06/2012 19:00,T,
Miami (FL) vs. Notre Dame<br>(at Chicago, IL),NBC HD,10/06/2012 19:30,T
Nebraska at Ohio St.,ABC HD,10/06/2012 20:00,T,
Florida St. at NC State,ESPN2 HD,10/06/2012 20:00,T,
SMU at UTEP,Time Warner-Texas,10/06/2012 20:00,T,
Hawai'i at San Diego St.,CBS Sports Network HD,10/06/2012 20:00,T,
UCLA at California,Pac-12 Networks HD,10/06/2012 22:00,T,
Washington at Oregon,ESPN HD,10/06/2012 22:30,T,
Western Kentucky at Troy,ESPNU HD,10/11/2012 19:30,T,
UTEP at Tulsa,FSN HD,10/11/2012 20:00,T,
Arizona St. at Colorado,ESPN HD,10/11/2012 21:00,T,
Navy at Central Michigan,ESPN2 HD,10/12/2012 20:00,T,
South Alabama at Arkansas St.,,10/13/2012 00:00,N,
Louisville at Pittsburgh,ESPNU HD,10/13/2012 11:00,T,
Syracuse at Rutgers,Big East Network HD,10/13/2012 12:00,T,
Kansas St. at Iowa St.,F/X HD,10/13/2012 12:00,T,
Oklahoma vs. Texas<br>(at Dallas, TX),ABC HD,10/13/2012 12:00,T
UAB at Houston,FSN HD,10/13/2012 12:00,T,
Kent St. at Army,CBS Sports Network HD,10/13/2012 12:00,T,
Iowa at Michigan St.,ESPN HD<br>ESPN 3D,10/13/2012 12:00,T,
Northwestern at Minnesota,ESPN2 HD,10/13/2012 12:00,T,
Wisconsin at Purdue,BTN HD,10/13/2012 12:00,T,
Auburn at Ole Miss,SEC Network HD,10/13/2012 12:00,T,
Duke at Virginia Tech,ACC Network HD,10/13/2012 12:30,T,
Toledo at Eastern Michigan,,10/13/2012 13:00,W,
SMU at Tulane,CSS,10/13/2012 13:00,T,
